wid,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
152,alone,əˈləʊn,NULL,NULL,NULL,NULL,NULL,"['adj. 独自的；单独的；孤独的，无依无靠的；唯一的', 'adv. 独自，单独；独力，单干（地）；单，只；仅仅……就']"
153,along,əˈlɒŋ,NULL,NULL,NULL,NULL,NULL,"['prep. 沿着，顺着；靠着……边；在某处', 'adv. 向前；一起，一道；进行，进展；（前）来，到某处；到相当的程度；传播']"
154,alongside,əˌlɒŋˈsaɪd,NULL,NULL,NULL,NULL,NULL,"['prep. 在……旁边；沿着……的边；与……一起，与……并肩（工作）；与……相比；与……同等重要的；同时，共存', 'adv. 在旁边']"
155,aloud,əˈlaʊd,NULL,NULL,NULL,NULL,NULL,['adv. 大声地，出声地']
156,alphabet,ˈælfəbet,alphabets,NULL,NULL,NULL,NULL,['n. 字母表；基本要素；初步，入门']
157,already,ɔːlˈredi,NULL,NULL,NULL,NULL,NULL,['adv. 已经，早已；<美，非正式>马上，够了（用于表达不耐烦或气恼）']
158,also,ˈɔːlsəʊ,NULL,NULL,NULL,NULL,NULL,"['adv. 此外，而且；也，同样', 'conj. 另外，又', '【名】 （Also）（罗）阿尔索（人名）']"
159,alter,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,alternate,ɔːlˈtɜːnət,alternates,alternates,alternating,alternated,alternated,"['v. （使）交替，（使）轮流', 'adj. 轮流的，交替的；间隔的；供选择的，备用的；（叶，芽）互生的；另类的', 'n. 替补者，候补者']"
161,alternative,ɔːlˈtɜːnətɪv,alternatives,NULL,NULL,NULL,NULL,"['n. 可供选择的事物，替代物', 'adj. 可替代的，备选的；非传统的，另类的；（两者）互不相容的，非此即彼的']"
162,although,ɔːlˈðəʊ,NULL,NULL,NULL,NULL,NULL,['conj. 虽然，尽管；但是，然而']
163,altitude,ˈæltɪtjuːd,NULL,NULL,NULL,NULL,NULL,['n. 海拔高度；高地；（天体在地平线上的）地平纬度；顶垂线；（等级和地位等的）高级']
164,altogether,ˌɔːltəˈɡeðə(r),NULL,NULL,NULL,NULL,NULL,['adv. 完全地；总共；总之']
165,aluminum,əˈluːmɪnəm,NULL,NULL,NULL,NULL,NULL,['n. 铝']
166,always,ˈɔːlweɪz,NULL,NULL,NULL,NULL,NULL,['adv. 总是，每次都是；一直，长久以来；永远；老是，一再；总还有（表示有另一种可能）']
167,amateur,ˈæmətə(r),amateurs,NULL,NULL,NULL,NULL,"['n. 业余爱好者；生手，外行', 'adj. 非专业的，业余爱好的；不熟练的']"
168,amaze,əˈmeɪz,NULL,amazes,amazing,amazed,amazed,['v. 使惊奇，使惊愕']
169,ambassador,æmˈbæsədə(r),ambassadors,NULL,NULL,NULL,NULL,['n. 大使，使节；（体育项目、行业等的）代表人物']
170,ambiguous,æmˈbɪɡjuəs,NULL,NULL,NULL,NULL,NULL,['adj. 模棱两可的，有歧义的；不明朗的，不确定的']
171,ambition,æmˈbɪʃn,ambitions,ambitions,ambitioning,ambitioned,ambitioned,"['n. 追求的目标，抱负；雄心，野心；干劲', 'v. 追求，有……野心']"
172,ambitious,æmˈbɪʃəs,NULL,NULL,NULL,NULL,NULL,['adj. 有抱负的，野心勃勃的；费劲的，艰巨的；热望的']
173,ambulance,ˈæmbjələns,ambulances,ambulances,ambulancing,ambulanced,ambulanced,"['n. 急救车，救护车', 'v. 用救护车送（人）']"
174,amend,əˈmend,NULL,amends,amending,amended,amended,"['v. 修改，修订；纠正，改正；改善（土壤）的结构（或肥力）；<古>修复；改过自新', '【名】 （Amend）（英、德）阿门德（人名）']"
175,amiable,ˈeɪmiəb(ə)l,NULL,NULL,NULL,NULL,NULL,"['adj. 和蔼可亲的，友好的；令人愉快的', '【名】 （Amiable）（英）阿米娅布尔，（法）阿米亚布勒（人名）']"
176,amid,əˈmɪd,NULL,NULL,NULL,NULL,NULL,"['prep. 在……过程中，在……中；四周是，被……所环绕', '【名】 （Amid）（美）阿米德（人名）']"
177,among,əˈmʌŋ,NULL,NULL,NULL,NULL,NULL,['prep. 在……当中，周围是；与……在一起；……之一；在……群体中；为……所共有；彼此间；以及']
178,amount,əˈmaʊnt,amounts,amounts,amounting,amounted,amounted,"['n. 数量，量；金额，钱数；（感情、质量的）程度', 'v. 达到，总计（amount to）；等于，意味着（amount to）；发展成，变成（amount to）']"
179,ample,ˈæmpl,NULL,NULL,NULL,NULL,NULL,"['adj. 充足的，充裕的；丰满的；宽敞的，巨大的', '【名】 （Ample）（西）安普尔（人名）']"
180,amplifier,ˈæmplɪfaɪə(r),amplifiers,NULL,NULL,NULL,NULL,['n. 放大器，扬声器；（电子吉他等乐器）扩音器']
181,amplify,ˈæmplɪfaɪ,NULL,amplifies,amplifying,amplified,amplified,['v. 放大，扩大（声音）；增强，加强；详述，进一步阐明；扩增（基因，DNA序列）']
182,amuse,əˈmjuːz,NULL,amuses,amusing,amused,amused,['v. 逗乐，逗笑；（提供）消遣，（使）娱乐']
183,analogue,ˈænəlɒɡ,analogues,NULL,NULL,NULL,NULL,"['n. 相似物，类似事情；相似化合物', 'adj. 模拟的；（钟表）指针式的']"
184,analogy,əˈnælədʒi,analogies,NULL,NULL,NULL,NULL,['n. 类比，比拟；用类比方法，进行比照；同功']
185,analyse,ˈænəlaɪz,NULL,analyses,analysing,analysed,analysed,['v. 分析，细察；分解，化验；对……进行心理分析']
186,analysis,əˈnæləsɪs,analyses,NULL,NULL,NULL,NULL,['n. 分析；化验分析；心理分析，精神分析；分析报告']
187,"analytic [,ænə'litik] ",NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,ancestor,ˈænsestə(r),ancestors,NULL,NULL,NULL,NULL,['n. 祖先，祖宗；（动植物）原种；原型，雏形']
189,anchor,ˈæŋkə(r),anchors,anchors,anchoring,anchored,anchored,"['n. 锚；支柱，靠山；商场；<美>新闻节目主持人；<英，非正式>（汽车的）刹车', 'v. 抛锚，泊（船）；使稳固，使固定；成为支柱；<美>主持（新闻节目）；使扎根，使基于；支持，保护', 'adj. 末棒的，最后一棒的']"
190,ancient,ˈeɪnʃənt,ancients,NULL,NULL,NULL,NULL,"['adj. 古代的，远古的；古老的，年代久远的；老的，老掉牙的', 'n. （尤指埃及、希腊和罗马的）古代人；<古>老头']"
191,and,ənd,NULL,NULL,NULL,NULL,NULL,"['conj. 和，与；就；而且；但是；然后', 'n. （And）人名；（土、瑞典）安德']"
192,anecdote,ˈænɪkdəʊt,anecdotes或anecdota,NULL,NULL,NULL,NULL,['n. 轶事，趣闻；传闻']
193,anger,ˈæŋɡə(r),NULL,angers,angering,angered,angered,"['n. 愤怒，怒火', 'v. 使生气，激怒', '【名】 （Anger）（法）安热，（德、捷、瑞典）安格尔，（罗）安杰尔（人名）']"
194,angle,ˈæŋɡ(ə)l,angles,angles,angling,angled,angled,"['n. 角；倾斜，斜角；角度；视角，立场；<美>不可告人的动机；<美>诡计，狡猾的手段；角铁，角钢；<古>鱼钩', 'v. 斜移，斜置；向（特定人群）提供资讯，定位于；博取，谋取；垂钓，钓鱼；（使）朝向，（使）转向']"
195,angry,ˈæŋɡri,NULL,NULL,NULL,NULL,NULL,['adj. 愤怒的，生气的；狂风暴雨的，波涛汹涌的；红肿的，感染的']
196,anguish,ˈæŋɡwɪʃ,NULL,anguishes,anguishing,anguished,anguished,"['n. 剧痛，极度痛苦', 'v. 感到痛苦']"
197,animal,ˈænɪm(ə)l,animals,NULL,NULL,NULL,NULL,"['n. 动物；兽类；<非正式>衣冠禽兽，畜牲；某一类人或物', 'adj. 动物的；肉体的，肉欲的；取自动物的；（胚胎）动物极的']"
198,ankle,ˈæŋk(ə)l,ankles,ankles,ankling,ankled,ankled,"['n. 脚踝，踝关节', 'v. <美，非正式>走；离开；（骑自行车时）踝关节曲起用力']"
199,anniversary,ˌænɪˈvɜːsəri,anniversaries,NULL,NULL,NULL,NULL,['n. 周年纪念（日）']
200,announce,əˈnaʊns,NULL,announces,announcing,announced,announced,['v. 宣布，公布；声称，郑重地说；（尤指通过广播）通知；播报，讲解（体育赛事）；通报……的到来；显示；告知；宣布竞选公职']
201,annoy,əˈnɔɪ,NULL,NULL,NULL,NULL,NULL,['v. 使恼怒，使烦恼；打扰，骚扰；<古>侵扰']
202,annual,ˈænjuəl,annuals,NULL,NULL,NULL,NULL,"['adj. 一年一度的；年度的；（植物）一年生的', 'n. 一年生植物；年刊，年鉴']"
203,anonymous,əˈnɒnɪməs,NULL,NULL,NULL,NULL,NULL,['adj. 匿名的，不知名的；不记名的，不具名的；无特色的']
204,another,əˈnʌðə(r),NULL,NULL,NULL,NULL,NULL,"['det. （同类的）另一，又一；（不同类的）另外一个，其他一个；类似的（人或事物）', 'pron. 又一个，再一个；另一个，另一种；不确切的事物，某些事物（用于与 one 或 some 构成的短语）', 'adj. 再加一个的；另一的，不同的；另一类似的']"
205,answer,ˈɑːnsə(r),answers,answers,answering,answered,answered,"['v. 回答，答复；回复；接电话；应门；答（题）；回应，反击；满足，适合；与……相符，相配；解决（问题）', 'n. 回答，答复；答案；解决办法；回信，回函；接听，应门；相当的人，对应物']"
206,ant,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207,antenna,ænˈtenə,antennae或antennas,NULL,NULL,NULL,NULL,"['n. 触须，触角；<美>天线；感觉，直觉', '【名】 （Antenna）（法）安泰纳（人名）']"
208,anticipate,ænˈtɪsɪpeɪt,NULL,anticipates,anticipating,anticipated,anticipated,['v. 预期，预料；预见（并做准备）；期望，盼望；先于……做，早于……行动；提前使用；在期限内履行（义务），偿还（债务）']
209,antique,ænˈtiːk,antiques,antiques,antiquing,antiqued,antiqued,"['adj. 古老的，古董的；老式的，过时的；（木器表面罩漆工艺）仿古的，古式的；年久的，破旧的', 'n. 古物，古董；古式（尤指古希腊、古罗马的雕刻、建筑等）；西文粗体字体', 'v. 以仿古式样制作；觅购古玩']"
210,anxiety,æŋˈzaɪəti,anxieties,NULL,NULL,NULL,NULL,['n. 焦虑，忧虑；令人焦虑的事；渴望；焦虑症']
211,anxious,ˈæŋkʃəs,NULL,NULL,NULL,NULL,NULL,['adj. 焦虑的，担心的；渴望的，急切的；（时间或局势）紧张的，令人焦虑的']
212,anyhow,ˈenihaʊ,NULL,NULL,NULL,NULL,NULL,['adv. 不管怎样，无论如何；无关紧要；至少；接着；总之；<英>随便地，杂乱无章地']
213,anyway,ˈeniweɪ,NULL,NULL,NULL,NULL,NULL,['adv. 不管怎样，无论如何；而且，加之；尽管，即使这样；对了，好吧（用于转换话题或回到前一个话题）；（用于表明某事不重要）反正；至少；总之；（表示有意结束谈话）那么；究竟，到底；噢，啊（用于结束谈话或离开）']
214,anywhere,ˈeniweə(r),NULL,NULL,NULL,NULL,NULL,"['adv. 在任何地方；无论何处', 'n. 任何地方']"
215,apart,əˈpɑːt,NULL,NULL,NULL,NULL,NULL,"['adv. （空间或时间）相隔，相距；拆开，成碎片；解体，崩溃；分开，分离；与众不同地，独特地；除了……外；远远地', 'adj. 意见不一致的，有分歧的；分开的；与众不同的']"
216,apartment,əˈpɑːtmənt,apartments,NULL,NULL,NULL,NULL,['n. 公寓套房；（总统等要人的）房间，套间']
217,apologise,əˈpɒlədʒaɪz,NULL,apologises,apologising,apologised,apologised,['vi. 道歉（apologize 的英式拼写）']
218,apology ,əˈpɒlədʒi,apologies,NULL,NULL,NULL,NULL,['n. 道歉；（因不能赴会的）道歉信；辩护，辩解；勉强（或不适当的）替代物；<非正式>糟糕的例子']
219,appal,NULL,NULL,NULL,NULL,NULL,NULL,NULL
220,apparatus,ˌæpəˈreɪtəs,apparatuses或apparatus,NULL,NULL,NULL,NULL,['n. 设备，器具；机构，组织；器官；评论性注释']
221,apparent,əˈpærənt,NULL,NULL,NULL,NULL,NULL,['adj. 显而易见的，易懂的；貌似的，表面上的']
222,appeal,əˈpiːl,appeals,appeals,appealing,appealed,appealed,"['n. 呼吁，恳求；上诉，申诉；吸引力，感染力；（为慈善或正义事业的）募捐；启发，打动', 'v. 呼吁，恳求；上诉，申诉；有吸引力，引起兴趣；启发，打动']"
223,appear,əˈpɪə(r),NULL,appears,appearing,appeared,appeared,['v. 出现，呈现；首次使用，起源；出庭；演出，出场；出版，发表；记载，提及；看来，似乎；<非正式>到达']
224,appearance,əˈpɪərəns,appearances,NULL,NULL,NULL,NULL,['n. 露面，演出；出庭，到场；外表，外观；表面现象，假象；出现；起源，问世；表现；出版，广播']
225,appendix,əˈpendɪks,appendixes或appendices,NULL,NULL,NULL,NULL,['n. 阑尾；附录']
226,appetite,ˈæpɪtaɪt,appetites,NULL,NULL,NULL,NULL,['n. 食欲，胃口；欲望，爱好']
227,applaud,əˈplɔːd,NULL,applauds,applauding,applauded,applauded,['v. 鼓掌；称赞，赞许']
228,applause,əˈplɔːz,NULL,NULL,NULL,NULL,NULL,['n. 掌声，喝彩']
229,appliance,əˈplaɪəns,appliances,appliances,appliancing,applianced,applianced,['n. 家用电器，装置；<英>应用；消防车']
230,applicable,əˈplɪkəb(ə)l,NULL,NULL,NULL,NULL,NULL,['adj. 适用的，适当的']
231,application,ˌæplɪˈkeɪʃ(ə)n,applications,NULL,NULL,NULL,NULL,['n. 正式申请，书面申请；申请书，申请表；敷用，涂抹；应用，实施；指称；应用软件；勤奋，努力']
232,apply,əˈplaɪ,NULL,applies,applying,applied,applied,['v. 申请；涂，敷；施加，实施；应用，运用；踩（刹车）；适用，适合；指称']
233,appoint,əˈpɔɪnt,NULL,appoints,appointing,appointed,appointed,['v. 任命，指派；约定，安排（日期、时间）；装饰，布置（房间或空间）；<古>命令，颁布法令；受权处置（财产）']
234,appointment,əˈpɔɪntmənt,appointments,NULL,NULL,NULL,NULL,['n. 约会，约定；任命，委派；职务，职位；家具，陈设']
235,appraisal,əˈpreɪzl,appraisals,NULL,NULL,NULL,NULL,['n. 评估，估价；评价；员工工作评估']
236,appreciate,əˈpriːʃieɪt,NULL,appreciates,appreciating,appreciated,appreciated,['v. 欣赏，鉴赏；理解，明白；感谢，感激；升值，增值']
237,approach,əˈprəʊtʃ,approaches,approaches,approaching,approached,approached,"['v. 靠近，临近；接洽，交谈；对付，处理；近似，接近于', 'n. 方法，态度；靠近，接近；接洽，要求；通道，路径；进场着陆；近似物']"
238,appropriate,əˈprəʊpriət,NULL,appropriates,appropriating,appropriated,appropriated,"['adj. 合适的，相称的', 'v. 拨出（款项）；私占，挪用']"
239,approval,əˈpruːv(ə)l,approvals,NULL,NULL,NULL,NULL,['n. 称许，赞成；批准，许可']
240,approve,əˈpruːv,NULL,approves,approving,approved,approved,['v. 同意，赞成；批准，通过；核准；喜欢，赞赏；<古>证明，显示；使（废品或公共土地）升值']
241,approximate,əˈprɒksɪmət,NULL,approximates,approximating,approximated,approximated,"['adj. 大概的，近似的', 'v. 类似，接近；模仿，模拟；粗略估计']"
242,apt,æpt,NULL,NULL,NULL,NULL,NULL,"['adj. 易于……的，有……倾向的；恰当的，适宜的；善学的，聪明的', '【名】 （Apt）（英、法、波）阿普特（人名）']"
243,arbitrary,ˈɑːbɪtrəri,NULL,NULL,NULL,NULL,NULL,['adj. 任意的，随心所欲的；专横的，武断的']
244,arch,ɑːtʃ,arches,arches,arching,arched,arched,"['n. 拱门；拱顶；足弓；拱形物', 'v. （使）成弓形，拱起', 'adj. 淘气的，调皮的；傲慢自大的；主要的', 'comb. 极度的，为首的', '【名】 （Arch）（英）阿奇，（德）阿尔希（人名）']"
245,architect,ˈɑːkɪtekt,architects,architects,architecting,architected,architected,['n. 建筑师；设计师，缔造者']
